year,state,votes,candidate,party,short_state
1956,Colorado,394479,"Eisenhower, Dwight",Republican,CO
1956,Connecticut,711837,"Eisenhower, Dwight",Republican,CT
1956,Delaware,98057,"Eisenhower, Dwight",Republican,DE
1956,Florida,643849,"Eisenhower, Dwight",Republican,FL
1956,Georgia,216652,"Eisenhower, Dwight",Republican,GA
1956,Hawaii,,"Eisenhower, Dwight",Republican,HI
1956,Idaho,166979,"Eisenhower, Dwight",Republican,ID
1956,Illinois,2623327,"Eisenhower, Dwight",Republican,IL
1956,Indiana,1182811,"Eisenhower, Dwight",Republican,IN
1956,Iowa,729187,"Eisenhower, Dwight",Republican,IA
1956,Kansas,566878,"Eisenhower, Dwight",Republican,KS
1956,Kentucky,572192,"Eisenhower, Dwight",Republican,KY
1956,Louisiana,329047,"Eisenhower, Dwight",Republican,LA
1956,Maine,249238,"Eisenhower, Dwight",Republican,ME
1956,Maryland,559738,"Eisenhower, Dwight",Republican,MD
1956,Massachusetts,1393197,"Eisenhower, Dwight",Republican,MA
1956,Michigan,1713647,"Eisenhower, Dwight",Republican,MI
1956,Minnesota,719302,"Eisenhower, Dwight",Republican,MN
1956,Mississippi,60685,"Eisenhower, Dwight",Republican,MS
1956,Missouri,914289,"Eisenhower, Dwight",Republican,MO
1956,Montana,154933,"Eisenhower, Dwight",Republican,MT
1956,Nebraska,378108,"Eisenhower, Dwight",Republican,NE
1956,Nevada,56049,"Eisenhower, Dwight",Republican,NV
1956,New Hampshire,176519,"Eisenhower, Dwight",Republican,NH
1956,New Jersey,1606942,"Eisenhower, Dwight",Republican,NJ
1956,New Mexico,146788,"Eisenhower, Dwight",Republican,NM
1956,New York,4340340,"Eisenhower, Dwight",Republican,NY
1956,North Carolina,575062,"Eisenhower, Dwight",Republican,NC
1956,North Dakota,156766,"Eisenhower, Dwight",Republican,ND
1956,Ohio,2262610,"Eisenhower, Dwight",Republican,OH
1956,Oklahoma,473769,"Eisenhower, Dwight",Republican,OK
1956,Oregon,406393,"Eisenhower, Dwight",Republican,OR
1956,Pennsylvania,2585252,"Eisenhower, Dwight",Republican,PA
1956,Rhode Island,225819,"Eisenhower, Dwight",Republican,RI
1956,South Carolina,75700,"Eisenhower, Dwight",Republican,SC
1956,South Dakota,171569,"Eisenhower, Dwight",Republican,SD
1956,Tennessee,462288,"Eisenhower, Dwight",Republican,TN
1956,Texas,1080619,"Eisenhower, Dwight",Republican,TX
1956,Utah,215631,"Eisenhower, Dwight",Republican,UT
1956,Vermont,110390,"Eisenhower, Dwight",Republican,VT
1956,Virginia,386459,"Eisenhower, Dwight",Republican,VA
1956,Washington,620430,"Eisenhower, Dwight",Republican,WA
1956,West Virginia,449297,"Eisenhower, Dwight",Republican,WV
1956,Wisconsin,954844,"Eisenhower, Dwight",Republican,WI
1956,Wyoming,74573,"Eisenhower, Dwight",Republican,WY
1956,Washington DC,,"Eisenhower, Dwight",Republican,DC
1956,Alabama,20333,"Other (Unpledged Democratic, etc.)",,AL
1956,Alaska,,"Other (Unpledged Democratic, etc.)",,AK
1956,Arizona,303,"Other (Unpledged Democratic, etc.)",,AZ
1956,Arkansas,7008,"Other (Unpledged Democratic, etc.)",,AR
1956,California,18552,"Other (Unpledged Democratic, etc.)",,CA
1956,Colorado,4598,"Other (Unpledged Democratic, etc.)",,CO
1956,Connecticut,205,"Other (Unpledged Democratic, etc.)",,CT
1956,Delaware,510,"Other (Unpledged Democratic, etc.)",,DE
1956,Florida,0,"Other (Unpledged Democratic, etc.)",,FL
1956,Georgia,5734,"Other (Unpledged Democratic, etc.)",,GA
1956,Hawaii,,"Other (Unpledged Democratic, etc.)",,HI
1956,Idaho,142,"Other (Unpledged Democratic, etc.)",,ID
1956,Illinois,8398,"Other (Unpledged Democratic, etc.)",,IL
1956,Indiana,7888,"Other (Unpledged Democratic, etc.)",,IN
1956,Iowa,3519,"Other (Unpledged Democratic, etc.)",,IA
1956,Kansas,3048,"Other (Unpledged Democratic, etc.)",,KS
1956,Kentucky,5160,"Other (Unpledged Democratic, etc.)",,KY
1956,Louisiana,44520,"Other (Unpledged Democratic, etc.)",,LA
1956,Maine,0,"Other (Unpledged Democratic, etc.)",,ME
1956,Maryland,0,"Other (Unpledged Democratic, etc.)",,MD
1956,Massachusetts,7119,"Other (Unpledged Democratic, etc.)",,MA
1956,Michigan,6923,"Other (Unpledged Democratic, etc.)",,MI
1956,Minnesota,3178,"Other (Unpledged Democratic, etc.)",,MN
1956,Mississippi,42966,"Other (Unpledged Democratic, etc.)",,MS
1956,Missouri,0,"Other (Unpledged Democratic, etc.)",,MO
1956,Montana,0,"Other (Unpledged Democratic, etc.)",,MT
1956,Nebraska,0,"Other (Unpledged Democratic, etc.)",,NE
1956,Nevada,0,"Other (Unpledged Democratic, etc.)",,NV
1956,New Hampshire,111,"Other (Unpledged Democratic, etc.)",,NH
1956,New Jersey,27033,"Other (Unpledged Democratic, etc.)",,NJ
1956,New Mexico,1040,"Other (Unpledged Democratic, etc.)",,NM
1956,New York,2227,"Other (Unpledged Democratic, etc.)",,NY
1956,North Carolina,0,"Other (Unpledged Democratic, etc.)",,NC
1956,North Dakota,483,"Other (Unpledged Democratic, etc.)",,ND
1956,Ohio,0,"Other (Unpledged Democratic, etc.)",,OH
1956,Oklahoma,0,"Other (Unpledged Democratic, etc.)",,OK
1956,Oregon,0,"Other (Unpledged Democratic, etc.)",,OR
1956,Pennsylvania,9482,"Other (Unpledged Democratic, etc.)",,PA
1956,Rhode Island,2,"Other (Unpledged Democratic, etc.)",,RI
1956,South Carolina,88511,"Other (Unpledged Democratic, etc.)",,SC
1956,South Dakota,0,"Other (Unpledged Democratic, etc.)",,SD
1956,Tennessee,20609,"Other (Unpledged Democratic, etc.)",,TN
1956,Texas,14968,"Other (Unpledged Democratic, etc.)",,TX
1956,Utah,0,"Other (Unpledged Democratic, etc.)",,UT
1956,Vermont,39,"Other (Unpledged Democratic, etc.)",,VT
1956,Virginia,43759,"Other (Unpledged Democratic, etc.)",,VA
1956,Washington,7457,"Other (Unpledged Democratic, etc.)",,WA
1956,West Virginia,0,"Other (Unpledged Democratic, etc.)",,WV
1956,Wisconsin,8946,"Other (Unpledged Democratic, etc.)",,WI
1956,Wyoming,0,"Other (Unpledged Democratic, etc.)",,WY
1956,Washington DC,,"Other (Unpledged Democratic, etc.)",,DC
1952,Alabama,275075,"Stevenson, Adlai",Democratic,AL
1952,Alaska,,"Stevenson, Adlai",Democratic,AK
1952,Arizona,108528,"Stevenson, Adlai",Democratic,AZ
1952,Arkansas,226300,"Stevenson, Adlai",Democratic,AR
1952,California,2257646,"Stevenson, Adlai",Democratic,CA
1952,Colorado,245504,"Stevenson, Adlai",Democratic,CO
1952,Connecticut,481649,"Stevenson, Adlai",Democratic,CT
1952,Delaware,83315,"Stevenson, Adlai",Democratic,DE
1952,Florida,444950,"Stevenson, Adlai",Democratic,FL
1952,Georgia,456823,"Stevenson, Adlai",Democratic,GA
1952,Hawaii,,"Stevenson, Adlai",Democratic,HI
1952,Idaho,95081,"Stevenson, Adlai",Democratic,ID
1952,Illinois,2013920,"Stevenson, Adlai",Democratic,IL
1952,Indiana,801530,"Stevenson, Adlai",Democratic,IN
1952,Iowa,451513,"Stevenson, Adlai",Democratic,IA
1952,Kansas,273296,"Stevenson, Adlai",Democratic,KS
1952,Kentucky,495729,"Stevenson, Adlai",Democratic,KY
1952,Louisiana,345027,"Stevenson, Adlai",Democratic,LA
1952,Maine,118806,"Stevenson, Adlai",Democratic,ME
1952,Maryland,395337,"Stevenson, Adlai",Democratic,MD
1952,Massachusetts,1083525,"Stevenson, Adlai",Democratic,MA
1952,Michigan,1230657,"Stevenson, Adlai",Democratic,MI
1952,Minnesota,608458,"Stevenson, Adlai",Democratic,MN
1952,Mississippi,172566,"Stevenson, Adlai",Democratic,MS
1952,Missouri,929830,"Stevenson, Adlai",Democratic,MO
1952,Montana,106213,"Stevenson, Adlai",Democratic,MT
1952,Nebraska,188057,"Stevenson, Adlai",Democratic,NE
1952,Nevada,31688,"Stevenson, Adlai",Democratic,NV
1952,New Hampshire,106663,"Stevenson, Adlai",Democratic,NH
1952,New Jersey,1015902,"Stevenson, Adlai",Democratic,NJ
1952,New Mexico,105661,"Stevenson, Adlai",Democratic,NM
1952,New York,3104601,"Stevenson, Adlai",Democratic,NY
1952,North Carolina,652803,"Stevenson, Adlai",Democratic,NC
1952,North Dakota,76694,"Stevenson, Adlai",Democratic,ND
1952,Ohio,1600367,"Stevenson, Adlai",Democratic,OH
1952,Oklahoma,430939,"Stevenson, Adlai",Democratic,OK
1952,Oregon,270579,"Stevenson, Adlai",Democratic,OR
1952,Pennsylvania,2146269,"Stevenson, Adlai",Democratic,PA
1952,Rhode Island,203293,"Stevenson, Adlai",Democratic,RI
1952,South Carolina,173004,"Stevenson, Adlai",Democratic,SC
1952,South Dakota,90426,"Stevenson, Adlai",Democratic,SD
1952,Tennessee,443710,"Stevenson, Adlai",Democratic,TN
1952,Texas,969228,"Stevenson, Adlai",Democratic,TX
1952,Utah,135364,"Stevenson, Adlai",Democratic,UT
1952,Vermont,43355,"Stevenson, Adlai",Democratic,VT
1952,Virginia,268677,"Stevenson, Adlai",Democratic,VA
1952,Washington,492845,"Stevenson, Adlai",Democratic,WA
1952,West Virginia,453578,"Stevenson, Adlai",Democratic,WV
1952,Wisconsin,622175,"Stevenson, Adlai",Democratic,WI
1952,Wyoming,47934,"Stevenson, Adlai",Democratic,WY
1952,Washington DC,,"Stevenson, Adlai",Democratic,DC
1952,Alabama,149231,"Eisenhower, Dwight",Republican,AL
1952,Alaska,,"Eisenhower, Dwight",Republican,AK
1952,Arizona,152042,"Eisenhower, Dwight",Republican,AZ
1952,Arkansas,177155,"Eisenhower, Dwight",Republican,AR
1952,California,3035587,"Eisenhower, Dwight",Republican,CA
1952,Colorado,379782,"Eisenhower, Dwight",Republican,CO
1952,Connecticut,611012,"Eisenhower, Dwight",Republican,CT
1952,Delaware,90059,"Eisenhower, Dwight",Republican,DE
1952,Florida,544036,"Eisenhower, Dwight",Republican,FL
1952,Georgia,198979,"Eisenhower, Dwight",Republican,GA
1952,Hawaii,,"Eisenhower, Dwight",Republican,HI
1952,Idaho,180707,"Eisenhower, Dwight",Republican,ID
1952,Illinois,2457327,"Eisenhower, Dwight",Republican,IL
1952,Indiana,1136259,"Eisenhower, Dwight",Republican,IN
1952,Iowa,808906,"Eisenhower, Dwight",Republican,IA
1952,Kansas,616302,"Eisenhower, Dwight",Republican,KS
1952,Kentucky,495029,"Eisenhower, Dwight",Republican,KY
1952,Louisiana,306925,"Eisenhower, Dwight",Republican,LA
1952,Maine,232353,"Eisenhower, Dwight",Republican,ME
1952,Maryland,499424,"Eisenhower, Dwight",Republican,MD
1952,Massachusetts,1292325,"Eisenhower, Dwight",Republican,MA
1952,Michigan,1551529,"Eisenhower, Dwight",Republican,MI
1952,Minnesota,763211,"Eisenhower, Dwight",Republican,MN
1952,Mississippi,112966,"Eisenhower, Dwight",Republican,MS
1952,Missouri,959429,"Eisenhower, Dwight",Republican,MO
1952,Montana,157394,"Eisenhower, Dwight",Republican,MT
1952,Nebraska,421603,"Eisenhower, Dwight",Republican,NE
1952,Nevada,50502,"Eisenhower, Dwight",Republican,NV
1952,New Hampshire,166287,"Eisenhower, Dwight",Republican,NH
1952,New Jersey,1374613,"Eisenhower, Dwight",Republican,NJ
1952,New Mexico,132170,"Eisenhower, Dwight",Republican,NM
1952,New York,3952815,"Eisenhower, Dwight",Republican,NY
1952,North Carolina,558107,"Eisenhower, Dwight",Republican,NC
1952,North Dakota,191712,"Eisenhower, Dwight",Republican,ND
1952,Ohio,2100391,"Eisenhower, Dwight",Republican,OH
1952,Oklahoma,518045,"Eisenhower, Dwight",Republican,OK
1952,Oregon,420815,"Eisenhower, Dwight",Republican,OR
1952,Pennsylvania,2415789,"Eisenhower, Dwight",Republican,PA
1952,Rhode Island,210935,"Eisenhower, Dwight",Republican,RI
1952,South Carolina,168082,"Eisenhower, Dwight",Republican,SC
1952,South Dakota,203857,"Eisenhower, Dwight",Republican,SD
1952,Tennessee,446147,"Eisenhower, Dwight",Republican,TN
1952,Texas,1102878,"Eisenhower, Dwight",Republican,TX
1952,Utah,194190,"Eisenhower, Dwight",Republican,UT
1952,Vermont,109717,"Eisenhower, Dwight",Republican,VT
1952,Virginia,349037,"Eisenhower, Dwight",Republican,VA
1952,Washington,599107,"Eisenhower, Dwight",Republican,WA
1952,West Virginia,419970,"Eisenhower, Dwight",Republican,WV
1952,Wisconsin,979744,"Eisenhower, Dwight",Republican,WI
1952,Wyoming,81047,"Eisenhower, Dwight",Republican,WY
1952,Washington DC,,"Eisenhower, Dwight",Republican,DC
